1, 35589566.39608368, 6378630.971460545
2, 49918591.60363674, 1735583.8532714269
3, 72368375.00240654, 182786.92992608034
4, 96542416.39655082, 338557.35813606676
5, 120784774.99308065, 297119.64081674814
6, 145822550.00714213, 1026245.6271529703
7, 171593450.21937042, 2572246.7562226835
8, 195661324.809771, 3767010.1747629964
9, 223426574.99248162, 4992083.550596265
10, 244312300.19545183, 662189.5395184762
11, 267970408.40610862, 442405.40451834607
12, 296847450.0114098, 6731299.176571899
13, 317001975.0017673, 745605.0441877858
14, 342386625.0086576, 2510946.6667621224
15, 366878374.9919385, 2704796.6314898203
16, 393008616.81113017, 3891445.9949368653
17, 418146416.40521586, 2871399.970759892
18, 441726383.3922334, 1869622.4196262488
19, 467909208.20785695, 4778762.322251328
20, 491094358.81255186, 1291743.5798036342
21, 516414341.6215666, 2655351.960130991
22, 538550524.9840208, 1921435.3548387627
23, 565140216.6113259, 2391651.8845887086
24, 588506666.5825434, 2737818.672801337
25, 612080008.1989728, 4056610.5404076
26, 642517525.0158645, 7742402.423747591
27, 673074166.8143309, 1760878.5934065704
28, 695289999.9916553, 6720297.3711752845
29, 718128941.5922947, 6619353.51660571
30, 736613600.2121494, 2930334.14289609
31, 759263866.6043059, 1851149.6954810992
32, 783889708.5865028, 1541280.0037382722
