1, 3747000.000000, 1509337.106150
2, 2056000.000000, 164766.501450
3, 1737400.000000, 114456.541971
4, 1537000.000000, 78326.240814
5, 2252200.000000, 54159.025102
6, 2097200.000000, 46164.921748
7, 1948400.000000, 39765.562991
8, 1957000.000000, 146505.972574
9, 2434400.000000, 100661.810037
10, 2570200.000000, 140563.864489
11, 2671800.000000, 65063.046347
12, 2820800.000000, 70934.476808
13, 3209400.000000, 273143.368948
14, 3672200.000000, 215823.307360
15, 3741400.000000, 203681.859772
16, 4467400.000000, 315365.343689
17, 4398800.000000, 368897.953369
18, 4831600.000000, 553199.602314
19, 4604800.000000, 731981.352221
20, 4369000.000000, 150301.363933
21, 4868800.000000, 105464.211939
22, 4994000.000000, 66925.331527
23, 5028200.000000, 80406.467402
24, 5418600.000000, 142552.797237
25, 5568000.000000, 107396.461767
26, 5751800.000000, 68517.880878
27, 5862400.000000, 85511.987464
28, 6093600.000000, 95348.308847
29, 6338000.000000, 110537.324013
30, 6503800.000000, 83328.866547
31, 6723000.000000, 96340.541829
32, 6854600.000000, 67073.094457
