1, 1513916.600000, 704793.249639
2, 1206325.000000, 15829.145286
3, 1257225.200000, 18461.720686
4, 1308216.600000, 47293.850920
5, 1894841.600000, 20558.679099
6, 2005891.600000, 174127.871724
7, 2119241.600000, 194824.247201
8, 2442708.400000, 820262.322247
9, 2599266.600000, 267290.525166
10, 2787450.200000, 160187.669487
11, 2965258.400000, 148778.987975
12, 3120391.600000, 154511.125081
13, 3378625.200000, 199256.433833
14, 3697916.800000, 365481.836815
15, 3776000.000000, 110460.438495
16, 4055625.200000, 83572.638233
17, 4184575.000000, 42753.044810
18, 4668108.200000, 320471.317037
19, 4514674.800000, 98755.615403
20, 5143766.600000, 259908.537698
21, 5215374.800000, 205725.666562
22, 5497825.000000, 356289.280778
23, 5482716.600000, 119775.673809
24, 5701858.400000, 107919.194707
25, 5872966.800000, 124285.196798
26, 6286975.000000, 373209.617885
27, 6310033.000000, 106960.762406
28, 6516366.400000, 178080.530165
29, 7180391.400000, 571338.916394
30, 6996058.200000, 90260.566319
31, 7166758.200000, 95582.469207
32, 7642541.600000, 337680.502936
